,Best Musical,Best Revival,Leading Actor,Leading Actress,Featured Actor,Featured Actress,Best Direction,Best Book,Best Score,Best Producer,Scenic Design,Costume Design,Lighting Design,Sound Design,Choreography,Orchestrations,Conductor,Stage Technician
2006,Jersey Boys,The Pajama Game,John Lloyd Young - Jersey Boys,LaChanze - The Color Purple,Christian Hoff - Jersey Boys,Beth Leavel - The Drowsy Chaperone,John Doyle - Sweeny Todd,Bob Martin & Don McKellar - The Drowsy Chaperone,Lisa Lambert & Greg Morrison - The Drowsy Chaperone,N/A,David Gallo - The Drowsy Chaperone,Gregg Barnes - The Drowsy Chaperone,Howell Binkley - Jersey Boys,N/A,Kathleen Marshall - The Pajama Game,Sarah Travis - Sweeny Todd,N/A,N/A
2005,Spamalot,La Cage aux Folles,Norbert Leo Butz - Dirty Rotten Scoundrels,Victoria Clark - The Light in the Piazza,Dan Folger - The 25th Annual Puntum County Spelling Bee,Sara Ramirez - Spamalot,Mike Nichols - Spamalot,Rachel Sheinkin - The 25th Annual Puntum County Spelling Bee,Adam Guettel - The Light in the Piazza,N/A,Michael Yeargan - The Light in the Piazza,Catherie Zuber - The Light in the Piazza,Christopher Akerlind - The Light in the Piazza,N/A,Jerry Mitchell - La Cage aux Folles,Adam Guettel & Ted Sperling & Bruce Coughlin - The Light in the Piazza,N/A,N/A
2004,Avenue Q,Assassins,Hugh Jackman - The Boy from Oz,Idina Menzel - Wicked,Michael Cerveris - Assassins,"Anika Noni Rose - Caroline, Or Change",Joe Mantello - Assassins,Jeff Whitty - Avenue Q,Robert Lopez & Jeff Marx - Avenue Q,N/A,Eugene Lee - Wicked,Susan Hilferty - Wicked,Peggy Eisenhauer & Jules Fisher - Assassins,N/A,Kathleen Marshall - Wonderful Town,Michael Starobrin - Assassins,N/A,N/A
2003,Hairspray,Nine,Harvey Fierstein - Hairspray,Marissa Jaret Winokur - Hairspray,Dick Latessa - Hairspray,Jane Krakowski - Nine,Jack O'Brien - Hairspray,Mark O'Donnell & Thomas Meehan - Hairspray,Marc Shaiman & Scott Wittman - Hairspray,N/A,Catherine Martin - La Bohème,William Ivey Long - Hairspray,Nigel Levings - La Bohème,N/A,Twyla Tharp - Movin' Out,Billy Joel & Stuart Malina - Movin' Out,N/A,N/A
2002,Thoroughly Modern Millie,Into the Woods,John Lithgow - Sweet Smell of Success,Sutton Foster - Thoroughly Modern Millie,Shuler Hensly - Oklahoma!,Harriet Sansom Harris - Thoroughly Modern Millie,John Rando - Urinetown,Greg Kotis - Urinetown,Mark Hollmann - Urinetown,N/A,N/A,Martin Pakledinaz - Thoroughly Modern Millie,Brian MacDevitt - Into the Woods,N/A,Rob Ashford - Thoroughly Modern Millie,Doug Besterman & Ralph Burns - Thoroughly Modern Millie,N/A,N/A
2001,The Producers,42nd Street,Nathan Lane - The Producers,Christine Eberson - 42nd Street,Gary Beach - The Producers,Cady Huffman - The Producers,Susan Stroman - The Producers,Mel Brooks & Thomas Meehan - The Producers,Mel Brooks - The Producers,N/A,Robin Wagner - The Producers,William Ivey Long - The Producers,Peter Kaczorowski - The Producers,N/A,Susan Stroman - The Producers,Doug Besterman - The Producers,N/A,N/A
2000,Contact,Kiss Me Kate,Brian Stokes Mitchell - Kiss Me Kate,Heather Headley - Aida,Boyd Gaines - Contact,Karen Ziemba - Contact,Michael Blakemore - Kiss Me Kate,Richard Nelson - The Dead,Elton John & Tim Rice - Aida,N/A,Bob Crowley - Aida,Martin Pakledinaz - Kiss Me Kate,Natasha Katz - Aida,N/A,Susan Stroman - Contact,Dan Sebesky - Kiss Me Kate,N/A,N/A
1999,Fosse,Annie Get Your Gun,Martin Short - Little Me,Bernadette Peters - Annie Get Your Gun,"Roger Bart - You're A Good Man, Charlie Brown","Kristen Chenowith - You're A Good Man, Charlie Brown",Matthew Bourne - Swan Lake,Alfred Uhry - Parade,Jason Robert Brown - Parade,N/A,N/A,Lez Brotherston - Swan Lake,Andrew Bridge - Fosse,N/A,Matthew Bourne - Swan Lake,Raplh Burns & Doug Besterman - Fosse,N/A,N/A
1998,The Lion King,Cabaret,Alan Cumming - Cabaret,Natasha Richard - Cabaret,Ron Rifkin - Cabaret,Audra McDonald - Ragtime,Julie Taymor - The Lion King,Terrence McNally - Ragtime,Stephen Flaherty - Ragtime,N/A,Richard Hudson - The Lion King,Julie Taymor - The Lion King,Donald Holder - The Lion King,N/A,Garth Fagan - The Lion King,William David Brohn - Ragtime,N/A,N/A
1997,Titanic,Chicago,James Naughton - Chicago,Bebe Neuwirth - Chicago,Chuck Cooper - The Life,Lilias White - The Life,Walter Bobbie - Chicago,Peter Stone - Titanic,Maury Yeston - Titanic,N/A,Stewart Laing - Titanic,Judith Dolan - Candide,Ken Billington - Chicago,N/A,Ann Reinking - Chicago,Jonathan Tunick - Titanic,N/A,N/A
1996,Rent,The King and I,Nathan Lane - A Funny Thing Happened on the Way to the Forum,Donna Murphy - The King and I,Wilson Jermaine - Rent,"Ann Duquesnay -  Bring in 'da Noise, Bring in 'da Funk","George C Wolfe - Bring in 'da Noise, Bring in 'da Funk",Jonathan Larson - Rent,Jonathan Larson - Rent,N/A,Brian Thomson - The King and I,Roger Kirk - The King and I,"Jules Fisher & Peggy Eisenhauer -  Bring in 'da Noise, Bring in 'da Funk",N/A,"Savion Glover -  Bring in 'da Noise, Bring in 'da Funk",N/A,N/A,N/A
1995,Sunset Boulevard,Show Boat,Matthew Broderick - How to Succeed in Business Without Really Trying,Glenn Close - Sunset Boulevard,George Hearn - Sunset Boulevard,Gretha Boston - Show Boat,Harold Prince - Show Boat,Don Black & Christopher Hampton - Sunset Boulevard,Andrew Lloyd Webber - Sunset Boulevard,N/A,John Napier - Sunset Boulevard,Florence Klotz - Show Boat,Andrew Bridge - Sunset Boulevard,N/A,Susan Stroman - Show Boat,N/A,N/A,N/A
1994,Passion,Carousel,Boyd Gaines - She Loves Me,Donna Murphy - Passion,Jarrod Emick - Damn Yankees,Audra McDonald - Carousel,Nicholas Hytner - Carousel,James Lapine - Passion,Stephen Sondheim - Passion,N/A,Bob Crowley - Carousel,Ann Hould-Ward - Beauty and the Beast,N/A,N/A,Sir Kenneth MacMillan,N/A,N/A,N/A
1993,Kiss of the Spider Woman,N/A,Brent Carver - Kiss of the Spider Woman,Chita Rivera - Kiss of the Spider Woman,Anthony Crivello - Kiss of the Spider Woman,Andrea Martin - My Favourite Year,Des McAnuff - The Who's Tommy,Terrence McNally - Kiss of the Spider Woman,John Kander & Fred Ebb - Kiss of the Spider Woman & Pete Townshend - The Who's Tommy,N/A,John Arnone - The Who's Tommy,Florence Klotz - Kiss of the Spider Woman,Chris Parry - The Who's Tommy,N/A,Wayne Cilento - The Who's Tommy,N/A,N/A,N/A
1992,Crazy for You,Guys and Dolls,Gregory Hines - Jelly's Last Jam,Faith Prince - Guys and Dolls,Scott Waara - The Most Happy Fella',Tonya Pinkins - Jelly's Last Jam,Jerry Zaks - Guys and Dolls,William Finn & James Lapine - Falsettos,William Finn - Falsettos,N/A,Tony Walton - Guys and Dolls,William Ivey Long - Crazy for You,Jules Fisher - Jelly's Last Jam,N/A,Susan Stroman - Crazy For You,N/A,N/A,N/A
1991,The Will Rogers Follies,Fiddler on the Roof,Jonathan Pryce - Miss Saigon,Lea Salonga - Miss Saigon,Hinton Battle - Miss Saigon,Daisy Eagen - The Secret Garden,Tommy Tune - The Will Rogers Follies,Marsha Norman - The Secret Garden,Cy Coleman & Betty Comden & Adolph Green - The Will Rogers Follies,N/A,Heidi Landesman - The Secret Garden,Willa Kim - The Will Rogers Follies,Jules Fisher - The Will Rogers Follies,N/A,Tommy Tune - The Will Rogers Follies,N/A,N/A,N/A
1990,City of Angels,Gypsy,James Naughton - City of Angels,Tyne Daly - Gypsy,Michael Jeter - Grand Hotel,Randy Graff - City of Angels,Tommy Tune - Grand Hotel,Larry Gelbart - City of Angels,Cy Coleman & Dave Zippel - City of Angels,N/A,Robin Wagner - City of Angels,Santo Loquasto - Grand Hotel,Jules Fisher - Grand Hotel,N/A,Tommy Tune - Grand Hotel,N/A,N/A,N/A
