,Best Musical,Best Revival,Leading Actor,Leading Actress,Featured Actor,Featured Actress,Best Direction,Best Book,Best Score,Best Producer,Scenic Design,Costume Design,Lighting Design,Sound Design,Choreography,Orchestrations,Conductor,Stage Technician
1969,1776,N/A,"Jerry Orbach - Promises, Promises",Angela Lansbury - Dear World,Ron Holgate - 1776,"Marian Mercer - Promises, Promises",Peter Hunt - 1776,N/A,N/A,N/A,Boris Aronson - Zorba,Loudon Sainthill - Canterbury Tales,N/A,N/A,Joe Layton - George M!,N/A,N/A,N/A
1968,"Hallelujah, Baby!",N/A,Robert Goulet - The Happy Time,"Leslie Uggams - Hallelujah, Baby! & Patricia Routledge - Darling of the Day","Hiram Sherman - How Now, Dow Jones","Lillian Hayman - Hallelujah, Baby!",Gower Champion - The Happy Time,N/A,"Adolph Green & Betty Comden & Jule Styne - Hallelujah, Baby!",N/A,N/A,N/A,N/A,N/A,Gower Champion - The Happy Time,N/A,N/A,N/A
1967,Cabaret,N/A,Robert Preston - I Do! I Do!,Barbara Harris - The Apple Tree,Joel Grey - Cabaret,Peg Murray - Cabaret,Harold Prince - Cabaret,N/A,John Kander & Fred Ebb - Cabaret,N/A,Boris Aronson - Cabaret,Patricia Zipprodt - Cabaret,N/A,N/A,Ron Field - Cabaret,N/A,N/A,N/A
1966,Man of La Mancha,N/A,Richard Kiley - Man of La Mancha,Angela Lansbury - Mame,Frankie Michaels - Mame,Beatrice Arthur - Mame,Albert Marre - Man of La Mancha,N/A,Mitch Leigh & Joe Darion - Man of La Mancha,N/A,Howard Bay - Man of La Mancha,N/A,N/A,N/A,Bob Fosse - Sweet Charity,N/A,N/A,N/A
1965,Fiddler on the Roof,N/A,Zero Mostel - Fiddler on the Roof,Liza Minnelli - Flora the Red Menace,"Victor Spintti - Oh, What a Lovely Day!",Maria Karnilova - Fiddler on the Roof,Jerome Robbins - Fiddler on the Roof,Joseph Stein - Fiddler on the Roof,Jerry Bock & Sheldon Harnick - Fiddler on the Roof,Harold Prince - Fiddler on the Roof,Oliver Smith - Baker Smith,Patricia Zipprodt - Fiddler ont he Roof,N/A,N/A,Jerome Robbins - Fiddler on the Roof,N/A,N/A,N/A
1964,"Hello, Dolly!",N/A,Bert Lahr - Foxy,"Carol Channing - Hello, Dolly!",Jack Cassidy - She Loves Me,Tessie O'Shea - The Girl Who Came to Supper,"Gower Champion - Hello, Dolly!","Michael Stewart - Hello, Dolly!","Jerry Herman - Hello, Dolly!","David Merrick - Hello, Dolly!","Oliver Smith - Hello, Dolly!","Freddy Wittop - Hello, Dolly!",N/A,N/A,"Gower Champion - Hello, Dolly!",N/A,"Shepherd Coleman - Hello, Dolly!",N/A
1963,A Funny Thing Happened On the Way to the Forum,N/A,Zero Mostel - A Funny Thing Happened On the way to the Forum,Vivian Leigh - Tovarich,David Burns - A Funny Thing Happened On the Way to the Forum,Anna Quayle - Stop the World - I Want to get Off,George Abbott - A Funny Thing Happened On the Way to the Forum,Burt Shevelove & Larry Gelbart - A Funny Thing Happened On the Way to the Forum,Lionel Bart - Oliver!,Harold Prince - A Funny Thing Happened On the Way to the Forum,Sean Kenny - Oliver!,N/A,N/A,N/A,Bob Fosse - Little Me,N/A,Don Pippin - Oliver!,Solly Pernick - Mr President
1962,How to Succeed in Business Without Really Trying,N/A,Robert Morse - How to Succeed in Business Without Really Trying,Diahann Carroll - No Strings & Anna Maria Alberghetti - Carnival!,Charles Nelson Reilly - How to Succeed in Business Without Really Trying,Phyllis Newman - Subways are for Sleeping,Abe Burrows - How to Succeed in Business Without Really Trying,Abe Burrows & Jack Weinstock & Willie Gilbert - How to Succeed in Business Without Really Trying,Richard Rogers - No Strings,Cy Feuer & Ernest Martin - How to Succeed in Business Without Really Trying,Will Steven Armstrong - Carival!,Lucinda Ballard - The Gay Life,N/A,N/A,Joe Layton - No Strings,N/A,Elliott Lawrence - How to Succeed in Business Without Really Trying,N/A
1961,Bye Bye Birdie,N/A,Richard Burton - Camelot,Elizabeth Seal - Irma La Douce ,Dick Van Dyke - Bye Bye Birdie,Tammy Grimes - The Unsinkable Molly Brown,Gower Champion - Bye Bye Birdie,N/A,N/A,N/A,Oliver Smith - Camelot,Adrian Duquette & Tony Duquette - Camelot,N/A,N/A,Gower Champion - Bye Bye Birdie,N/A,Franz Allers - Camelot,N/A
1960,The Sound of Music & Fiorello!,N/A,Jackie Gleason - Take Me Along,Mary Martin - The Sound of Music,Tom Bosley - Fiorello!,Patricia Neway - The Sound of Music,George Abbott - Fiorello!,N/A,N/A,N/A,Oliver Smith - The Sound of Music,Cecil Beaton - Saratoga,N/A,N/A,Michael Kidd - Destry Rides Again,N/A,Frederick Dvonch - The Sound of Music,N/A
1959,Redhead,N/A,Richard Kiley - Redhead,Gwen Verdon - Redhead,Leonard Stone - Redhead / Russell Nype - Goldilocks,Pat Stanley - Goldilocks,N/A,N/A,N/A,N/A,N/A,Rouben Ter-Arutunian - Redhead,N/A,N/A,Bob Fosse - Readhead,N/A,Salvator Dell'Isola - Flower Drum Song,Sammy Knapp - Music Man
1958,The Music Man,N/A,Robert Preston - The Music Man,Gwen Verdon - New Girl in Town & Thelma Ritter - New Girl in Town,David Burns - The Music Man,Barbara Cook - The Music Man,N/A,N/A,N/A,N/A,Oliver Smith - West Side Story,N/A,N/A,N/A,Jerome Robbins - West Side Story,N/A,Herbert Greene - The Music Man,N/A
1957,My Fair Lady,N/A,Rex Harrison - My Fair Lady,Judy Holliday - Bells are Ringing,Sydney Earle Chaplin - Bells are Ringing,Edith Adams - Li'l Abner,Moss Hart - My Fair Lady,N/A,N/A,N/A,Oliver Smith - My Fair Lady,Cecil Beaton - My Fair Lady,N/A,N/A,Michael Kidd - Li'l Abner,N/A,Franz Allers - My Fair Lady,N/A
1956,Damn Yankees,N/A,Ray Walston - Damn Yankees,Gwen Verdon - Damn Yankees,Russ Brown - Damn Yankees,Lotte Lenya - The Threepenny Opera,N/A,N/A,N/A,N/A,N/A,Alvin Colt - Pipe Dream,N/A,N/A,Bob Fosse - Damn Yankees,N/A,Hal Hastings - Damn Yankees,Harry Green - Damn Yankees
1955,The Pajama Game,N/A,Walter Slezak - Fanny,Mary Martin - Peter Pan,Cyril Ritchard - Peter Pan,Carol Haney - The Pajama Game,N/A,N/A,N/A,N/A,Oliver Messell - House of Flowers,N/A,N/A,N/A,Bob Fosse - The Pajama Game,N/A,Thomas Schippers - The Saint of Beeker Street,Richard Rodda - Peter Pan
1954,Kismet,N/A,Alfred Drake - Kismet,Dolores Gray - Carnival in Flanders,Harry Belafonte - John Murray Anderson's Almanac,Gwen Verdon - Can-Can,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Michael Kidd - Can-Can,N/A,Louis Adrian - Kismet,N/A
1953,Wonderful Town,N/A,Thomas Mitchell - Hazel Flagg,Rosalind Russell - Wonderful Town,Hiram Sherman - Two's Company,Sheila Bond - Wish You Were Here,N/A,N/A,N/A,N/A,Raoul Pene Du Bois - Wonderful Town,Miles White - Hazel Flagg,N/A,N/A,Donald Saddler - Wonderful Town,N/A,Lehmen Engel - Wonderful Town,Abe Kurnit - Wish You Were Here
1952,The King and I,N/A,Phil Silvers - Top Banana,Getrude Lawrence - The King and I,Yul Brynner - The King and I,Helen Gallagher - Pal Joey,N/A,N/A,N/A,N/A,Jo Meilziner - The King and I,Irene Sharaff - The King and I,N/A,N/A,Robert Alton - Pal Joey,N/A,Max Meth - Pal Joey,Peter Feller - Call Me Madam
1951,Guys and Dolls,N/A,Robert Alda - Guys and Dolls,Ethel Merman - Call Me Madam,Russell Nype - Call Me Madam,Isabel Bigley - Guys and Dolls,George S Kaufman - Guys and Dolls,N/A,Irving Berlin - Call Me Madam,N/A,N/A,N/A,N/A,N/A,Michael Kidd - Guys and Dolls,N/A,Lehmen Engel - The Consul,N/A
1950,South Pacific,N/A,Ezio Pinza - South Pacific,Mary Martin - South Pacific,Myron McCormick - South Pacific,Juanita Hall - South Pacific,Joshua Logan - South Pacific,Joshua Logan & Oscar Hammerstein II - South Pacific,Richard Rogers - South Pacific,Leland Hayward & Joshua Logan & Oscar Hammerstein II & Richard Rogers - South Pacific,N/A,Aline Bernstein - Regina,N/A,N/A,Helen Tamaris - Touch and Go,N/A,Maurice Abravanel - Regina,N/A
1949,"Kiss Me, Kate",N/A,Ray Bolger - Where's Charley,Nanette Fabray - Love Life,N/A,N/A,N/A,"Bella Spewack & Samuel Spewack - Kiss Me, Kate","Cole Porter - Kiss Me, Kate","Saint Subber & Lemuel Ayers - Kiss Me, Kate",Jo Meilziner - South Pacific,"Lemuel Ayers - Kiss Me, Kate",N/A,N/A,Gower Champion - Lend an Ear,N/A,Max Meth - As the Girls Go,N/A
1948,N/A,N/A,Paul Hartman - Angel in the Wings,Grace Hartman - Angel in the Wings,N/A,N/A,N/A,N/A,N/A,N/A,Horace Armistead - The Medium,N/A,N/A,N/A,Jerome Robbins - High Button Shoes,N/A,Milton Rosenstock - Finian's Rainbow,N/A
1947,N/A,N/A,N/A,N/A,David Wayne - Finian's Rainbow,N/A,N/A,N/A,Kurt Weill - Street Scene,N/A,N/A,Lucinda Ballard - Street Scene & The Chocolate Soldier,N/A,N/A,Agnes De Mille -  Brigadoon & Michael Kidd - Finian's Rainbow,N/A,N/A,N/A
